"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"738","Urho Vaakanainen","ANA, BOS","D","29","493.16666666667","0","3","2","1","3","13.04"
"741","Kristian Vesalainen","WPG","L","53","448.15","2","1","0","1","3","25.00"
"751","Jack Studnicka","BOS","C","15","173.23333333333","0","3","2","1","3","100.00"
"774","Robin Salo","NYI","D","21","310.61666666667","1","2","2","0","3","42.86"
"791","Jacob Bryson","BUF","D","73","1165.5833333333","0","3","2","1","3","6.25"
"802","Carson Meyer","CBJ","R","13","105.28333333333","1","2","2","0","3","100.00"
"850","Jack McBain","ARI","C","10","113.16666666667","2","1","0","1","3","42.86"
"852","Kevin Bahl","N.J","D","17","244.1","1","2","1","1","3","30.00"
"863","Jan Jenik","ARI","R","13","130.55","2","1","0","1","3","75.00"
"916","Bobby Brink","PHI","R","10","116.16666666667","0","3","2","1","3","75.00"
"930","Philip Broberg","EDM","D","23","277.13333333333","1","2","0","2","3","30.00"
"935","Vladislav Kolyachonok","ARI","D","32","487.53333333333","1","2","2","0","3","15.79"
"997","Owen Power","BUF","D","8","142.91666666667","2","1","1","0","3","33.33"
"1002","Marc McLaughlin","BOS","C","11","111.51666666667","3","0","0","0","3","75.00"
"35","James Neal","STL","L","19","192.33333333333","1","1","0","1","2","50.00"
"77","Brad Malone","EDM","C","8","55","1","1","1","0","2","100.00"
"94","Jay Beagle","ARI","C","33","370.61666666667","1","1","1","0","2","40.00"
"118","Greg Pateryn","ANA","D","10","112.63333333333","1","1","1","0","2","33.33"
"142","Ryan Ellis","PHI","D","4","68.25","1","1","1","0","2","100.00"
"218","Michael Sgarbossa","WSH","C","10","91.15","1","1","1","0","2","50.00"
"319","Mackenzie MacEachern","STL","L","14","109.8","0","2","2","0","2","100.00"
"337","Cedric Paquette","MTL","C","24","165.2","0","2","1","1","2","66.67"
"353","Scott Sabourin","OTT","R","7","52.916666666667","0","2","2","0","2","66.67"
"369","Tucker Poolman","VAN","D","40","592.95","1","1","0","1","2","11.76"
"372","Jonny Brodzinski","NYR","C","22","215.33333333333","1","1","0","1","2","40.00"
"400","Carl Dahlstrom","TOR","D","3","38.3","0","2","2","0","2","100.00"
"494","Kevin Labanc","S.J","R","21","234.96666666667","1","1","1","0","2","50.00"
"514","Colin White","OTT","C","24","294.55","0","2","1","1","2","25.00"
"522","Jakub Zboril","BOS","D","10","145.61666666667","0","2","0","2","2","33.33"
